Strike;CallBid;CallAsk;CallDelta;PutBid;PutAsk;PutDelta
6800;135.2;136.8;0.95;1.5;1.6;-0.05
6805;130.4;132.0;0.943;1.8;1.9;-0.057
6810;125.7;127.2;0.935;2.1;2.2;-0.065
6815;121.0;122.4;0.927;2.4;2.5;-0.073
6820;116.3;117.7;0.917;2.8;2.9;-0.083
6825;111.7;113.1;0.906;3.2;3.3;-0.094
6830;107.2;108.5;0.894;3.7;3.8;-0.106
6835;102.7;104.0;0.881;4.2;4.3;-0.119
6840;98.3;99.6;0.866;4.8;4.9;-0.134
6845;94.0;95.2;0.85;5.5;5.6;-0.15
6850;89.8;91.0;0.832;6.2;6.4;-0.168
6855;85.6;86.8;0.813;7.0;7.2;-0.187
6860;81.5;82.7;0.792;8.0;8.2;-0.208
6865;77.5;78.7;0.77;9.1;9.3;-0.23
6870;73.6;74.8;0.746;10.3;10.5;-0.254
6875;69.8;71.0;0.72;11.7;11.9;-0.28
6880;66.1;67.3;0.693;13.2;13.4;-0.307
6885;62.5;63.7;0.664;14.9;15.1;-0.336
6890;59.0;60.2;0.633;16.8;17.0;-0.367
6895;55.6;56.8;0.6;18.9;19.1;-0.4
6900;52.3;53.5;0.566;21.2;21.4;-0.434
6905;49.1;50.3;0.53;23.7;23.9;-0.47
6910;46.0;47.2;0.493;26.5;26.8;-0.507
6915;43.0;44.2;0.455;29.5;29.8;-0.545
6920;40.1;41.3;0.416;32.8;33.1;-0.584
6925;37.3;38.5;0.377;36.3;36.7;-0.623
6930;34.6;35.8;0.338;40.1;40.5;-0.662
6935;32.0;33.2;0.299;44.2;44.6;-0.701
6940;29.5;30.7;0.261;48.5;49.0;-0.739
6945;27.1;28.3;0.224;53.1;53.6;-0.776
6950;24.8;26.0;0.189;58.0;58.5;-0.811
6955;22.6;23.8;0.156;63.1;63.6;-0.844
6960;20.5;21.7;0.125;68.4;69.0;-0.875
6965;18.5;19.7;0.097;74.0;74.6;-0.903
6970;16.6;17.8;0.072;79.8;80.4;-0.928
6975;14.8;16.0;0.05;85.8;86.4;-0.95
6980;13.1;14.3;0.032;92.0;92.7;-0.968
6985;11.5;12.7;0.018;98.3;99.0;-0.982
6990;10.0;11.2;0.008;104.8;105.5;-0.992
