Strike;CallBid;CallAsk;CallDelta;PutBid;PutAsk;PutDelta
6800;160.2;162.0;0.955;1.2;1.3;-0.045
6805;155.1;156.9;0.948;1.5;1.6;-0.052
6810;150.0;151.7;0.94;1.8;1.9;-0.06
6815;145.0;146.6;0.932;2.1;2.2;-0.068
6820;140.1;141.7;0.922;2.5;2.6;-0.078
6825;135.2;136.7;0.911;2.9;3.0;-0.089
6830;130.4;131.9;0.899;3.4;3.5;-0.101
6835;125.7;127.2;0.886;4.0;4.1;-0.114
6840;121.1;122.6;0.871;4.6;4.7;-0.129
6845;116.6;118.0;0.855;5.3;5.4;-0.145
6850;112.2;113.6;0.837;6.1;6.3;-0.163
6855;107.9;109.3;0.818;7.0;7.2;-0.182
6860;103.7;105.1;0.797;8.0;8.2;-0.203
6865;99.6;101.0;0.775;9.1;9.3;-0.225
6870;95.6;97.0;0.751;10.3;10.5;-0.249
6875;91.7;93.1;0.726;11.7;11.9;-0.274
6880;87.9;89.3;0.699;13.3;13.5;-0.301
6885;84.2;85.6;0.671;15.0;15.2;-0.329
6890;80.6;82.0;0.641;16.9;17.1;-0.359
6895;77.1;78.5;0.609;18.9;19.1;-0.391
6900;73.7;75.1;0.576;21.2;21.4;-0.424
6905;70.4;71.8;0.541;23.7;23.9;-0.459
6910;67.2;68.6;0.505;26.5;26.8;-0.495
6915;64.1;65.5;0.468;29.5;29.8;-0.532
6920;61.1;62.5;0.43;32.8;33.1;-0.57
6925;58.2;59.6;0.391;36.3;36.7;-0.609
6930;55.4;56.8;0.352;40.1;40.5;-0.648
6935;52.7;54.1;0.313;44.2;44.6;-0.687
6940;50.1;51.5;0.275;48.5;49.0;-0.725
6945;47.6;49.0;0.238;53.1;53.6;-0.762
6950;45.2;46.6;0.203;58.0;58.5;-0.797
6955;42.9;44.3;0.17;63.1;63.6;-0.83
6960;40.7;42.1;0.139;68.4;69.0;-0.861
6965;38.6;40.0;0.111;74.0;74.6;-0.889
6970;36.6;38.0;0.086;79.8;80.4;-0.914
6975;34.7;36.1;0.064;85.8;86.4;-0.936
6980;32.9;34.3;0.046;92.0;92.7;-0.954
6985;31.2;32.6;0.032;98.3;99.0;-0.968
6990;29.6;31.0;0.02;104.8;105.5;-0.98
