Strike;CallBid;CallAsk;CallDelta;PutBid;PutAsk;PutDelta
6800;120.1;121.5;0.945;1.8;1.9;-0.055
6805;115.4;116.8;0.938;2.0;2.1;-0.062
6810;110.8;112.0;0.93;2.3;2.4;-0.07
6815;106.2;107.5;0.922;2.6;2.7;-0.078
6820;101.6;103.0;0.912;2.9;3.0;-0.088
6825;97.1;98.4;0.901;3.3;3.4;-0.099
6830;92.6;93.9;0.889;3.8;3.9;-0.111
6835;88.1;89.3;0.875;4.3;4.4;-0.125
6840;83.7;84.9;0.86;4.9;5.0;-0.14
6845;79.4;80.5;0.843;5.6;5.7;-0.157
6850;75.1;76.2;0.825;6.3;6.5;-0.175
6855;70.8;71.9;0.805;7.2;7.3;-0.195
6860;66.7;67.8;0.783;8.1;8.3;-0.217
6865;62.6;63.7;0.76;9.2;9.4;-0.24
6870;58.7;59.8;0.735;10.4;10.6;-0.265
6875;54.9;56.0;0.708;11.8;12.0;-0.292
6880;51.2;52.3;0.68;13.3;13.5;-0.32
6885;47.7;48.8;0.65;15.0;15.2;-0.35
6890;44.3;45.4;0.618;16.9;17.1;-0.382
6895;41.1;42.2;0.585;18.9;19.1;-0.415
6900;38.0;39.1;0.55;21.2;21.4;-0.45
6905;35.1;36.2;0.514;23.6;23.8;-0.486
6910;32.3;33.4;0.477;26.3;26.6;-0.523
6915;29.7;30.8;0.439;29.2;29.5;-0.561
6920;27.2;28.3;0.401;32.4;32.7;-0.599
6925;24.9;26.0;0.363;35.9;36.2;-0.637
6930;22.8;23.9;0.325;39.6;40.0;-0.675
6935;20.8;21.9;0.288;43.6;44.0;-0.712
6940;18.9;20.0;0.252;47.8;48.2;-0.748
6945;17.2;18.3;0.218;52.3;52.8;-0.782
6950;15.6;16.7;0.186;57.0;57.5;-0.814
6955;14.1;15.2;0.156;61.9;62.4;-0.844
6960;12.7;13.8;0.129;67.0;67.6;-0.871
6965;11.4;12.5;0.104;72.3;72.9;-0.896
6970;10.2;11.3;0.082;77.8;78.4;-0.918
6975;9.1;10.2;0.063;83.4;84.0;-0.937
6980;8.1;9.2;0.047;89.2;89.8;-0.953
6985;7.2;8.3;0.034;95.1;95.8;-0.966
6990;6.4;7.5;0.024;101.1;101.8;-0.976
6995;5.7;6.8;0.017;107.2;108.0;-0.983
7000;5.1;6.2;0.012;113.4;114.2;-0.988
