time;open
2023-09-26;0.70
2023-09-27;0.64
2023-09-28;0.80
2023-09-29;0.82
2023-10-02;0.69
2023-10-03;0.72
2023-10-04;0.68
2023-10-05;0.71
2023-10-06;0.83
2023-10-09;0.67
2023-10-10;0.64
2023-10-11;0.71
2023-10-12;0.72
2023-10-13;0.77
2023-10-16;0.67
2023-10-17;0.67
2023-10-18;0.66
2023-10-19;0.76
2023-10-20;0.71
2023-10-23;0.65
2023-10-24;0.64
2023-10-25;0.66
2023-10-26;0.75
2023-10-27;0.77
2023-11-06;0.67
2023-11-07;0.62
2023-11-08;0.66
2023-11-09;0.65
2023-11-10;0.66
2023-11-13;0.65
2023-11-14;0.79
2023-11-15;0.75
2023-11-16;0.65
2023-11-17;0.67
2023-11-20;0.55
2023-11-21;0.57
2023-11-22;0.62
2023-11-24;0.66
2023-11-27;0.53
2023-11-28;0.54
2023-11-29;0.59
2023-11-30;0.68
2023-12-01;0.78
2023-12-04;0.62
2023-12-05;0.67
2023-12-06;0.61
2023-12-07;0.60
2023-12-08;0.75
2023-12-11;0.57
2023-12-12;0.71
2023-12-13;0.94
2023-12-14;0.87
2023-12-15;1.24
2023-12-18;0.57
2023-12-19;0.54
2023-12-20;0.58
2023-12-21;0.72
2023-12-22;0.69
2023-12-26;0.54
2023-12-27;0.54
2023-12-28;0.59
2023-12-29;0.68
2024-01-02;0.62
2024-01-03;0.65
2024-01-04;0.59
2024-01-05;0.71
2024-01-08;0.57
2024-01-09;0.61
2024-01-10;0.63
2024-01-11;0.80
2024-01-12;0.76
2024-01-16;0.65
2024-01-17;0.65
2024-01-18;0.64
2024-01-19;0.70
2024-01-22;0.60
2024-01-23;0.61
2024-01-24;0.60
2024-01-25;0.64
2024-01-26;0.69
2024-01-29;0.53
2024-01-30;0.61
2024-01-31;0.97
2024-02-01;0.73
2024-02-02;0.79
2024-02-05;0.63
2024-02-06;0.58
2024-02-07;0.62
2024-02-08;0.64
2024-02-09;0.68
2024-02-12;0.55
2024-02-13;0.74
2024-02-14;0.63
2024-02-15;0.61
2024-02-16;0.72
2024-02-20;0.57
2024-02-21;0.60
2024-02-22;0.72
2024-02-23;0.60
2024-02-26;0.55
2024-02-27;0.55
2024-02-28;0.55
2024-02-29;0.72
2024-03-01;0.67
2024-03-04;0.50
2024-03-05;0.54
2024-03-06;0.69
2024-03-07;0.63
2024-03-08;0.69
2024-04-01;0.48
2024-04-02;0.58
2024-04-03;0.54
2024-04-04;0.56
2024-04-05;0.85
2024-04-08;0.57
2024-04-09;0.56
2024-04-10;0.88
2024-04-11;0.78
2024-04-12;0.82
2024-04-15;0.72
2024-04-16;0.82
2024-04-17;0.75
2024-04-18;0.71
2024-04-19;0.82
2024-04-22;0.65
2024-04-23;0.64
2024-04-24;0.63
2024-04-25;0.72
2024-04-26;0.81
2024-04-29;0.56
2024-04-30;0.63
2024-05-01;1.5
2024-05-02;0.77
2024-05-03;0.89
2024-05-06;0.60
2024-05-07;0.57
2024-05-08;0.61
2024-05-09;0.56
2024-05-10;0.57
2024-05-13;0.52
2024-05-14;0.67
2024-05-15;0.72
2024-05-16;0.64
2024-05-17;0.59
2024-05-20;0.49
2024-05-21;0.51
2024-05-22;0.54
2024-05-23;0.72
2024-05-24;0.68
2024-05-28;0.53
2024-05-29;0.59
2024-05-30;0.60
2024-05-31;0.70
2024-06-03;0.60
2024-06-04;0.71
2024-06-05;0.69
2024-06-06;0.65
2024-06-07;0.81
2024-06-10;0.61
2024-06-11;0.62
2024-06-12;1.7
2024-06-13;0.68
2024-06-14;0.71
2024-06-17;0.57
2024-06-18;0.61
2024-06-20;0.62
2024-06-21;0.76
2024-06-24;0.56
2024-06-25;0.56
2024-06-26;0.59
2024-06-27;0.60
2024-06-28;0.75
2024-07-01;0.65
2024-07-02;0.63
2024-07-03;0.77
2024-07-05;0.62
2024-07-08;0.50
2024-07-09;0.57
2024-07-10;0.54
2024-07-11;0.72
2024-07-12;0.67
2024-07-15;0.68
2024-07-16;0.65
2024-07-17;0.72
2024-07-18;0.74
2024-07-19;0.77
2024-07-22;0.62
2024-07-23;0.61
2024-07-24;0.66
2024-07-25;0.76
2024-07-26;0.82
2024-07-29;0.73
2024-07-30;0.69
2024-07-31;0.95
2024-08-01;0.80
2024-08-02;0.93
2024-08-05;0.45
2024-08-06;0.75
2024-08-07;0.75
2024-08-08;0.78
2024-08-09;0.80
2024-08-12;0.64
2024-08-13;0.68
2024-08-14;0.79
2024-08-15;0.70
2024-08-16;0.76
2024-08-19;0.59
2024-08-20;0.57
2024-08-21;0.66
2024-08-22;0.60
2024-08-23;0.87
2024-08-26;0.56
2024-08-27;0.58
2024-08-28;0.56
2024-08-29;0.81
2024-08-30;0.70
2024-09-03;0.62
2024-09-04;0.64
2024-09-05;0.69
2024-09-06;0.80
2024-09-09;0.67
2024-09-10;0.66
2024-09-11;0.74
2024-09-12;0.76
2024-09-13;0.74
2024-09-16;0.61
2024-09-17;0.65
2024-09-18;1.6
2024-09-19;0.75
2024-09-20;0.77
2024-09-23;0.61
2024-09-24;0.53
2024-09-25;0.50
2024-09-26;0.55
2024-09-27;0.56
2024-09-30;0.62
2024-10-01;0.61
2024-10-02;0.64
2024-10-03;0.62
2024-10-04;0.67
2024-10-07;0.51
2024-10-08;0.49
2024-10-09;0.46
2024-10-10;0.53
2024-10-11;0.45
2024-10-14;0.40
2024-10-15;0.41
2024-10-16;0.43
2024-10-17;0.44
2024-10-18;0.46
2024-10-21;0.38
2024-10-22;0.45
2024-10-23;0.42
2024-10-24;0.49
2024-10-25;0.43
2024-11-04;0.50
2024-11-05;0.56
2024-11-06;0.93
2024-11-07;0.82
2024-11-08;0.55
2024-11-11;0.49
2024-11-12;0.57
2024-11-13;0.59
2024-11-14;0.62
2024-11-15;0.64
2024-11-18;0.58
2024-11-19;0.67
2024-11-20;0.60
2024-11-21;0.70
2024-11-22;0.66
2024-11-25;0.52
2024-11-26;0.57
2024-11-27;0.56
2024-11-29;0.67
2024-12-02;0.49
2024-12-03;0.55
2024-12-04;0.52
2024-12-05;0.46
2024-12-06;0.53
2024-12-09;0.44
2024-12-10;0.43
2024-12-11;0.49
2024-12-12;0.41
2024-12-13;0.44
2024-12-16;0.40
2024-12-17;0.47
2024-12-18;0.74
2024-12-19;0.75
2024-12-20;0.71
2024-12-23;0.62
2024-12-24;0.69
2024-12-26;0.65
2024-12-27;0.59
2024-12-30;0.80
2024-12-31;0.85
2025-01-02;0.74
2025-01-03;0.73
2025-01-06;0.63
2025-01-07;0.65
2025-01-08;0.80
2025-01-10;0.83
2025-01-13;0.73
2025-01-14;0.77
2025-01-15;0.81
2025-01-16;0.71
2025-01-17;0.72
2025-01-21;0.68
2025-01-22;0.52
2025-01-23;0.52
2025-01-24;0.52
2025-01-27;0.74
2025-01-28;0.67
2025-01-29;0.75
2025-01-30;0.67
2025-01-31;0.67
2025-02-03;0.77
2025-02-04;0.75
2025-02-05;0.63
2025-02-06;0.56
2025-02-07;0.66
2025-02-10;0.59
2025-02-11;0.61
2025-02-12;0.70
2025-02-13;0.65
2025-02-14;0.61
2025-02-18;0.53
2025-02-19;0.50
2025-02-20;0.46
2025-02-21;0.59
2025-02-24;0.63
2025-02-25;0.68
2025-02-26;0.69
2025-02-27;0.78
2025-02-28;0.82
2025-03-03;0.74
2025-03-04;0.87
2025-03-05;0.97
2025-03-06;0.88
2025-03-07;1.1
2025-03-31;0.87
2025-04-01;0.82
2025-04-02;0.79
2025-04-03;0.96
2025-04-04;1.2
2025-04-07;1.20
2025-04-08;1.19
2025-04-09;1.29
2025-04-10;1.23
2025-04-11;1.18
2025-04-14;0.89
2025-04-15;0.71
2025-04-16;0.80
2025-04-17;0.79
2025-04-21;0.70
2025-04-22;0.71
2025-04-23;0.84
2025-04-24;0.82
2025-04-25;0.84
2025-04-28;0.70
2025-04-29;0.75
2025-04-30;0.84
2025-05-01;0.81
2025-05-02;0.73
2025-05-05;0.64
2025-05-06;0.59
2025-05-07;0.83
2025-05-08;0.75
2025-05-09;0.65
2025-05-12;0.83
2025-05-13;0.68
2025-05-14;0.64
2025-05-15;0.63
2025-05-16;0.67
2025-05-19;0.65
2025-05-20;0.58
2025-05-21;0.65
2025-05-22;0.69
2025-05-23;0.80
2025-05-27;0.59
2025-05-28;0.57
2025-05-29;0.77
2025-05-30;0.74
2025-06-02;0.64
2025-06-03;0.56
2025-06-04;0.58
2025-06-05;0.71
2025-06-06;0.62
2025-06-09;0.59
2025-06-10;0.57
2025-06-11;0.61
2025-06-12;0.59
2025-06-13;0.68
2025-06-16;0.52
2025-06-17;0.53
2025-06-18;0.72
2025-06-20;0.59
2025-06-23;0.53
2025-06-24;0.54
2025-06-25;0.47
2025-06-26;0.46
2025-06-27;0.49
2025-06-30;0.52
2025-07-01;0.51
2025-07-02;0.49
2025-07-03;0.72
2025-07-07;0.48
2025-07-08;0.51
2025-07-09;0.46
2025-07-10;0.47
2025-07-11;0.54
2025-07-14;0.43
2025-07-15;0.44
2025-07-16;0.47
2025-07-17;0.45
2025-07-18;0.52
2025-07-21;0.39
2025-07-22;0.46
2025-07-23;0.43
2025-07-24;0.46
2025-07-25;0.45
2025-07-28;0.43
2025-07-29;0.42
2025-07-30;0.66
2025-07-31;0.63
2025-08-01;0.78
2025-08-04;0.53
2025-08-05;0.52
2025-08-06;0.55
2025-08-07;0.55
2025-08-08;0.53
2025-08-11;0.53
2025-08-12;0.58
2025-08-13;0.48
2025-08-14;0.61
2025-08-15;0.58
2025-08-18;0.48
2025-08-19;0.42
2025-08-20;0.56
2025-08-21;0.62
2025-08-22;0.97
2025-08-25;0.48
2025-08-26;0.47
2025-08-27;0.48
2025-08-28;0.54
2025-08-29;0.56
2025-09-02;0.63
2025-09-03;0.51
2025-09-04;0.49
2025-09-05;0.62
2025-09-08;0.47
2025-09-09;0.58
2025-09-10;0.51
2025-09-11;0.55
2025-09-12;0.48
2025-09-15;0.43
2025-09-16;0.45
2025-09-17;0.90
2025-09-18;0.67
2025-09-19;0.61
2025-09-22;0.43
2025-09-23;0.40
2025-09-24;0.42
2025-09-25;0.56
2025-09-26;0.56
2025-09-29;0.48
2025-09-30;0.51
2025-10-01;0.57
2025-10-02;0.45
2025-10-03;0.48
2025-10-06;0.46
2025-10-07;0.41
2025-10-08;0.45
2025-10-09;0.42
2025-10-10;0.50
2025-10-13;0.72
2025-10-14;0.72
2025-10-15;0.58
2025-10-16;0.61
2025-10-17;0.79
2025-10-20;0.56
2025-10-21;0.48
2025-10-22;0.52
2025-10-23;0.58
2025-10-24;0.59
2025-11-03;0.53
2025-11-04;0.65
2025-11-05;0.61
2025-11-06;0.61
2025-11-07;0.72
2025-11-10;0.56
2025-11-11;0.55
2025-11-12;0.50
2025-11-13;0.62
2025-11-14;0.80
2025-11-17;0.73
2025-11-18;0.70
2025-11-19;0.66
2025-11-20;0.72
2025-11-21;0.89
2025-11-24;0.68
2025-11-25;0.62
2025-11-26;0.55
2025-11-28;0.79
2025-12-01;0.64
2025-12-02;0.54
2025-12-03;0.69
2025-12-04;0.54
2025-12-05;0.59
2025-12-08;0.51
2025-12-09;0.56
2025-12-10;0.79
2025-12-11;0.64
2025-12-12;0.58
2025-12-15;0.58
2025-12-16;0.68
2025-12-17;0.67
2025-12-18;0.72
2025-12-19;0.73
2025-12-22;0.53
2025-12-23;0.50
2025-12-24;0.54
2025-12-26;0.46
2025-12-29;0.52
2025-12-30;0.53
2025-12-31;0.53
2026-01-02;0.52
2026-01-05;0.53
2026-01-06;0.48
2026-01-07;0.48
2026-01-08;0.53
2026-01-09;0.74
2026-01-12;0.53
2026-01-13;0.49
2026-01-14;0.60
2026-01-15;0.52
2026-01-16;0.55
2026-01-20;0.74
2026-01-21;0.67
2026-01-22;0.55
2026-01-23;0.58
2026-01-26;0.52
2026-01-27;0.45
2026-01-28;0.58
2026-01-29;0.57
2026-01-30;0.73
2026-02-02;0.65
2026-02-03;0.49
2026-02-04;0.69
2026-02-05;0.90
2026-02-06;0.82
2026-02-09;0.68
2026-02-10;0.54
2026-02-11;0.54
2026-02-12;0.55
2026-02-13;0.84
2026-02-17;0.71
2026-02-18;0.73
2026-02-19;0.67
2026-02-20;0.75
2026-02-23;0.60
2026-02-24;0.66
2026-02-25;0.51
2026-02-26;0.71
2026-02-27;0.73
